2023-03-13 01:01:43.466932 [INFO   ] [APP] application started
2023-03-13 01:01:43.466945 [INFO   ] [APP] loading configuration from 'autotrader.json'
2023-03-13 01:01:43.467367 [INFO   ] [CON] connecting to: 172.25.0.2:12345
2023-03-13 01:01:43.467475 [INFO   ] [CON] connected successfully to: 172.25.0.2:12345
2023-03-13 01:01:43.467489 [INFO   ] [BASE] logging in with teamname='BGAF_2047' and secret='723d637874094bcdacd446d7df7b0eb5'
2023-03-13 01:02:01.644915 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 126400; ask volumes: 11980; bid prices: 126200; bid volumes: 2560
2023-03-13 01:02:01.644950 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 0; ask volumes: 0; bid prices: 0; bid volumes: 0
2023-03-13 01:02:01.778163 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 126400; ask volumes: 1; bid prices: 0; bid volumes: 0
2023-03-13 01:02:01.890618 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 126500; ask volumes: 5680; bid prices: 126300; bid volumes: 11000
2023-03-13 01:02:01.890630 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 126400; ask volumes: 32; bid prices: 126100; bid volumes: 49
2023-03-13 01:02:02.130247 [INFO   ] [AUTO] order 5 filled for 16 lots at $126600 cents
2023-03-13 01:02:02.132412 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 126400; ask volumes: 10; bid prices: 126600; bid volumes: 37
2023-03-13 01:02:02.132726 [INFO   ] [AUTO] hedge order 9 filled for 16 lots at $126500 average price in cents
2023-03-13 01:02:02.174179 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 126500; ask volumes: 2980; bid prices: 126300; bid volumes: 10980
2023-03-13 01:02:02.174190 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 126700; ask volumes: 133; bid prices: 126600; bid volumes: 50
2023-03-13 01:02:02.181694 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 0; ask volumes: 0; bid prices: 126600; bid volumes: 10
2023-03-13 01:02:02.182515 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 0; ask volumes: 0; bid prices: 126600; bid volumes: 40
2023-03-13 01:02:02.359408 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 126600; ask volumes: 1000; bid prices: 126500; bid volumes: 1000
2023-03-13 01:02:02.359421 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 126600; ask volumes: 2; bid prices: 126200; bid volumes: 49
2023-03-13 01:02:02.688494 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 126600; ask volumes: 1030; bid prices: 126500; bid volumes: 10000
2023-03-13 01:02:02.688507 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 126600; ask volumes: 14; bid prices: 126400; bid volumes: 81
2023-03-13 01:02:02.689654 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 126500; ask volumes: 10; bid prices: 0; bid volumes: 0
2023-03-13 01:02:02.835616 [INFO   ] [AUTO] trade ticks received for Future instrument: ask prices: 126700; ask volumes: 2000; bid prices: 0; bid volumes: 0
2023-03-13 01:02:02.925870 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 126800; ask volumes: 5430; bid prices: 126600; bid volumes: 11010
2023-03-13 01:02:02.926066 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 126600; ask volumes: 14; bid prices: 126500; bid volumes: 8
2023-03-13 01:02:02.928094 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 0; ask volumes: 0; bid prices: 126600; bid volumes: 10
2023-03-13 01:02:03.093752 [INFO   ] [AUTO] trade ticks received for Future instrument: ask prices: 126800; ask volumes: 1860; bid prices: 0; bid volumes: 0
2023-03-13 01:02:03.135636 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 127200; ask volumes: 2000; bid prices: 127100; bid volumes: 1000
2023-03-13 01:02:03.135647 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 126700; ask volumes: 10; bid prices: 126500; bid volumes: 71
2023-03-13 01:02:03.136968 [INFO   ] [AUTO] order 14 filled for 14 lots at $126900 cents
2023-03-13 01:02:03.137050 [INFO   ] [AUTO] order 15 filled for 28 lots at $127000 cents
2023-03-13 01:02:03.137855 [INFO   ] [AUTO] hedge order 22 filled for 14 lots at $127200 average price in cents
2023-03-13 01:02:03.137899 [INFO   ] [AUTO] hedge order 23 filled for 28 lots at $127200 average price in cents
2023-03-13 01:02:03.137982 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 126700; ask volumes: 10; bid prices: 0; bid volumes: 0
2023-03-13 01:02:03.415037 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 127200; ask volumes: 2000; bid prices: 127000; bid volumes: 12990
2023-03-13 01:02:03.415049 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 127200; ask volumes: 14; bid prices: 126600; bid volumes: 167
2023-03-13 01:02:03.625154 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 127300; ask volumes: 4570; bid prices: 127100; bid volumes: 3010
2023-03-13 01:02:03.625166 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 127200; ask volumes: 14; bid prices: 126900; bid volumes: 34
2023-03-13 01:02:03.627513 [INFO   ] [AUTO] order 28 filled for 10 lots at $127100 cents
2023-03-13 01:02:03.627676 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 0; ask volumes: 0; bid prices: 127100; bid volumes: 10
2023-03-13 01:02:03.627849 [INFO   ] [AUTO] hedge order 30 filled for 10 lots at $127100 average price in cents
2023-03-13 01:02:03.859979 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 127400; ask volumes: 6570; bid prices: 127200; bid volumes: 3000
2023-03-13 01:02:03.859992 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 127200; ask volumes: 10; bid prices: 127100; bid volumes: 16
2023-03-13 01:02:03.862330 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 0; ask volumes: 0; bid prices: 127200; bid volumes: 10
2023-03-13 01:02:04.138467 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 127400; ask volumes: 5980; bid prices: 127200; bid volumes: 4980
2023-03-13 01:02:04.138480 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 127400; ask volumes: 42; bid prices: 127100; bid volumes: 107
2023-03-13 01:02:04.232504 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 127400; ask volumes: 42; bid prices: 0; bid volumes: 0
2023-03-13 01:02:04.389827 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 127400; ask volumes: 2000; bid prices: 127300; bid volumes: 10980
2023-03-13 01:02:04.389838 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 127600; ask volumes: 108; bid prices: 127400; bid volumes: 3
2023-03-13 01:02:04.391547 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 0; ask volumes: 0; bid prices: 127400; bid volumes: 3
2023-03-13 01:02:04.481779 [INFO   ] [AUTO] trade ticks received for Future instrument: ask prices: 127400; ask volumes: 2000; bid prices: 0; bid volumes: 0
2023-03-13 01:02:04.585747 [INFO   ] [AUTO] trade ticks received for Future instrument: ask prices: 0; ask volumes: 0; bid prices: 127300; bid volumes: 2980
2023-03-13 01:02:04.638578 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 127400; ask volumes: 5980; bid prices: 127200; bid volumes: 9000
2023-03-13 01:02:04.638590 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 127400; ask volumes: 28; bid prices: 127300; bid volumes: 24
2023-03-13 01:02:04.640865 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 0; ask volumes: 0; bid prices: 127300; bid volumes: 10
2023-03-13 01:02:04.676990 [INFO   ] [AUTO] trade ticks received for Future instrument: ask prices: 0; ask volumes: 0; bid prices: 127200; bid volumes: 4160
2023-03-13 01:02:04.849127 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 127400; ask volumes: 2000; bid prices: 127300; bid volumes: 2000
2023-03-13 01:02:04.849138 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 127300; ask volumes: 22; bid prices: 127200; bid volumes: 24
2023-03-13 01:02:05.118802 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 127600; ask volumes: 5570; bid prices: 127400; bid volumes: 1330
2023-03-13 01:02:05.118815 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 127400; ask volumes: 28; bid prices: 127300; bid volumes: 10
2023-03-13 01:02:05.126036 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 127400; ask volumes: 7; bid prices: 0; bid volumes: 0
2023-03-13 01:02:05.175953 [INFO   ] [AUTO] trade ticks received for Future instrument: ask prices: 0; ask volumes: 0; bid prices: 127400; bid volumes: 330
2023-03-13 01:02:05.379291 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 127700; ask volumes: 980; bid prices: 127500; bid volumes: 14000
2023-03-13 01:02:05.379304 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 127600; ask volumes: 30; bid prices: 127400; bid volumes: 10
2023-03-13 01:02:05.381471 [INFO   ] [AUTO] order 47 filled for 10 lots at $127500 cents
2023-03-13 01:02:05.381619 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 0; ask volumes: 0; bid prices: 127500; bid volumes: 10
2023-03-13 01:02:05.381681 [INFO   ] [AUTO] hedge order 49 filled for 10 lots at $127500 average price in cents
2023-03-13 01:02:05.650282 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 127600; ask volumes: 2360; bid prices: 127500; bid volumes: 13010
2023-03-13 01:02:05.650294 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 127600; ask volumes: 10; bid prices: 127500; bid volumes: 24
2023-03-13 01:02:05.729986 [INFO   ] [AUTO] trade ticks received for Future instrument: ask prices: 127600; ask volumes: 2360; bid prices: 0; bid volumes: 0
