Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
3e-06,Chi_squared_314159,Tick,0,0,0,0,,,0,0,0,OK
3e-06,Camb1_3,Tick,0,0,0,0,,,0,0,0,OK
3e-06,BGAF_2047,Tick,0,0,0,0,,,0,0,0,OK
3e-06,yes_292487,Tick,0,0,0,0,,,0,0,0,OK
3e-06,Edius_2735,Tick,0,0,0,0,,,0,0,0,OK
3e-06,Cosmospoint_9797,Tick,0,0,0,0,,,0,0,0,OK
3e-06,borrainelary_23489,Tick,0,0,0,0,,,0,0,0,OK
3e-06,HappyGuo_100,Tick,0,0,0,0,,,0,0,0,OK
0.206759,Chi_squared_314159,Tick,0,0,0,0,126500,,0,0,0,OK
0.206759,Camb1_3,Tick,0,0,0,0,126500,,0,0,0,OK
0.206759,BGAF_2047,Tick,0,1,-1,1,126500,,-13,13,13,OK
0.206759,yes_292487,Tick,0,0,0,0,126500,,0,0,0,OK
0.206759,Edius_2735,Tick,0,0,0,0,126500,,0,0,0,OK
0.206759,Cosmospoint_9797,Tick,0,0,0,0,126500,,0,0,0,OK
0.206759,borrainelary_23489,Tick,0,0,0,0,126500,,0,0,0,OK
0.206759,HappyGuo_100,Tick,0,0,0,0,126500,,0,0,0,OK
0.545208,Chi_squared_314159,Tick,9,25,-16,16,126200,,-430,3830,3830,OK
0.545208,Camb1_3,Tick,0,20,-20,0,126200,,-253,2530253,2530253,OK
0.545208,BGAF_2047,Tick,0,49,-49,49,126200,,-621,3921,3921,OK
0.545208,yes_292487,Tick,0,0,0,0,126200,,0,0,0,OK
0.545208,Edius_2735,Tick,0,10,-10,10,126200,,-127,1127,1127,OK
0.545208,Cosmospoint_9797,Tick,0,15,-15,15,126200,,-190,190,190,OK
0.545208,borrainelary_23489,Tick,0,0,0,0,126200,,0,0,0,OK
0.545208,HappyGuo_100,Tick,0,0,0,0,126200,,0,0,0,OK
0.754695,Chi_squared_314159,Tick,9,25,-16,16,126200,,-430,3830,3830,OK
0.754695,Camb1_3,Tick,0,20,-20,0,126200,,-253,2530253,2530253,OK
0.754695,BGAF_2047,Tick,0,49,-49,49,126200,,-621,3921,3921,OK
0.754695,yes_292487,Tick,0,0,0,0,126200,,0,0,0,OK
0.754695,Edius_2735,Tick,0,10,-10,10,126200,,-127,1127,1127,OK
0.754695,Cosmospoint_9797,Tick,0,15,-15,15,126200,,-190,190,190,OK
0.754695,borrainelary_23489,Tick,0,0,0,0,126200,,0,0,0,OK
0.754695,HappyGuo_100,Tick,0,0,0,0,126200,,0,0,0,OK
1.01582,Chi_squared_314159,Tick,9,25,-16,16,126200,,-430,3830,3830,OK
1.01582,Camb1_3,Tick,0,20,-20,0,126200,,-253,2530253,2530253,OK
1.01582,BGAF_2047,Tick,0,49,-49,49,126200,,-621,3921,3921,OK
1.01582,yes_292487,Tick,0,0,0,0,126200,,0,0,0,OK
1.01582,Edius_2735,Tick,0,10,-10,10,126200,,-127,1127,1127,OK
1.01582,Cosmospoint_9797,Tick,0,15,-15,15,126200,,-190,190,190,OK
1.01582,borrainelary_23489,Tick,0,0,0,0,126200,,0,0,0,OK
1.01582,HappyGuo_100,Tick,0,0,0,0,126200,,0,0,0,OK
1.205462,Chi_squared_314159,Tick,9,25,-16,16,126200,126700,-430,3830,7878,OK
1.205462,Camb1_3,Tick,0,20,-20,8,126200,126700,-253,1517453,2113,OK
1.205462,BGAF_2047,Tick,0,49,-49,49,126200,126700,-621,3921,16318,OK
1.205462,yes_292487,Tick,0,0,0,0,126200,126700,0,0,0,OK
1.205462,Edius_2735,Tick,0,10,-10,10,126200,126700,-127,1127,3657,OK
1.205462,Cosmospoint_9797,Tick,0,15,-15,15,126200,126700,-190,190,3985,OK
1.205462,borrainelary_23489,Tick,0,0,0,0,126200,126700,0,0,0,OK
1.205462,HappyGuo_100,Tick,0,0,0,0,126200,126700,0,0,0,OK
1.454186,Chi_squared_314159,Tick,9,25,-16,16,126200,126800,-430,3830,7894,OK
1.454186,Camb1_3,Tick,0,20,-20,8,126200,126800,-253,1517453,933,OK
1.454186,BGAF_2047,Tick,0,49,-49,49,126200,126800,-621,3921,16367,OK
1.454186,yes_292487,Tick,0,0,0,0,126200,126800,0,0,0,OK
1.454186,Edius_2735,Tick,0,10,-10,10,126200,126800,-127,1127,3667,OK
1.454186,Cosmospoint_9797,Tick,0,15,-15,15,126200,126800,-190,190,4000,OK
1.454186,borrainelary_23489,Tick,0,0,0,0,126200,126800,0,0,0,OK
1.454186,HappyGuo_100,Tick,0,0,0,0,126200,126800,0,0,0,OK
1.798082,Chi_squared_314159,Tick,9,25,-16,16,127000,126800,-430,3830,630,OK
1.798082,Camb1_3,Tick,0,20,-20,8,127000,126800,-253,1517453,-8147,OK
1.798082,BGAF_2047,Tick,0,49,-49,49,127000,126800,-621,3921,-5879,OK
1.798082,yes_292487,Tick,0,0,0,0,127000,126800,0,0,0,OK
1.798082,Edius_2735,Tick,0,10,-10,10,127000,126800,-127,1127,-873,OK
1.798082,Cosmospoint_9797,Tick,15,15,0,0,127000,126800,191,1309,1309,OK
1.798082,borrainelary_23489,Tick,0,15,-15,15,127000,126800,-190,-2810,-5810,OK
1.798082,HappyGuo_100,Tick,0,0,0,0,127000,126800,0,0,0,OK
2.018691,Chi_squared_314159,Tick,9,25,-16,16,127000,126800,-430,3830,630,OK
2.018691,Camb1_3,Tick,0,20,-20,8,127000,126800,-253,1517453,-8147,OK
2.018691,BGAF_2047,Tick,0,49,-49,49,127000,126800,-621,3921,-5879,OK
2.018691,yes_292487,Tick,0,0,0,0,127000,126800,0,0,0,OK
2.018691,Edius_2735,Tick,0,10,-10,10,127000,126800,-127,1127,-873,OK
2.018691,Cosmospoint_9797,Tick,15,15,0,0,127000,126800,191,1309,1309,OK
2.018691,borrainelary_23489,Tick,0,15,-15,15,127000,126800,-190,-2810,-5810,OK
2.018691,HappyGuo_100,Tick,0,0,0,0,127000,126800,0,0,0,OK
2.219962,Chi_squared_314159,Tick,9,25,-16,16,127000,126800,-430,3830,630,OK
2.219962,Camb1_3,Tick,0,20,-20,8,127000,126800,-253,1517453,-8147,OK
2.219962,BGAF_2047,Tick,0,49,-49,49,127000,126800,-621,3921,-5879,OK
2.219962,yes_292487,Tick,0,0,0,0,127000,126800,0,0,0,OK
