Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
4e-06,Emineminem_522023,Tick,0,0,0,0,,,0,0,0,OK
4e-06,SicilianDragon_161660,Tick,0,0,0,0,,,0,0,0,OK
4e-06,LosingBot_3,Tick,0,0,0,0,,,0,0,0,OK
4e-06,DeltaOneBcn_3145,Tick,0,0,0,0,,,0,0,0,OK
4e-06,MarketOrdersOnly_94,Tick,0,0,0,0,,,0,0,0,OK
4e-06,Algorizz_12321,Tick,0,0,0,0,,,0,0,0,OK
4e-06,BGAF_2047,Tick,0,0,0,0,,,0,0,0,OK
4e-06,catusrteam_nametxt_99,Tick,0,0,0,0,,,0,0,0,OK
0.244491,Emineminem_522023,Tick,0,0,0,0,,,0,0,0,OK
0.244491,SicilianDragon_161660,Tick,0,0,0,0,,,0,0,0,OK
0.244491,LosingBot_3,Tick,0,0,0,0,,,0,0,0,OK
0.244491,DeltaOneBcn_3145,Tick,0,0,0,0,,,0,0,0,OK
0.244491,MarketOrdersOnly_94,Tick,0,0,0,0,,,0,0,0,OK
0.244491,Algorizz_12321,Tick,0,0,0,0,,,0,0,0,OK
0.244491,BGAF_2047,Tick,0,0,0,0,,,0,0,0,OK
0.244491,catusrteam_nametxt_99,Tick,0,0,0,0,,,0,0,0,OK
0.522465,Emineminem_522023,Tick,0,0,0,0,,,0,0,0,OK
0.522465,SicilianDragon_161660,Tick,0,0,0,0,,,0,0,0,OK
0.522465,LosingBot_3,Tick,0,0,0,0,,,0,0,0,OK
0.522465,DeltaOneBcn_3145,Tick,0,0,0,0,,,0,0,0,OK
0.522465,MarketOrdersOnly_94,Tick,0,0,0,0,,,0,0,0,OK
0.522465,Algorizz_12321,Tick,0,0,0,0,,,0,0,0,OK
0.522465,BGAF_2047,Tick,0,0,0,0,,,0,0,0,OK
0.522465,catusrteam_nametxt_99,Tick,0,0,0,0,,,0,0,0,OK
0.710387,Emineminem_522023,Tick,0,0,0,0,,,0,0,0,OK
0.710387,SicilianDragon_161660,Tick,0,0,0,0,,,0,0,0,OK
0.710387,LosingBot_3,Tick,0,0,0,0,,,0,0,0,OK
0.710387,DeltaOneBcn_3145,Tick,0,0,0,0,,,0,0,0,OK
0.710387,MarketOrdersOnly_94,Tick,0,0,0,0,,,0,0,0,OK
0.710387,Algorizz_12321,Tick,0,0,0,0,,,0,0,0,OK
0.710387,BGAF_2047,Tick,0,0,0,0,,,0,0,0,OK
0.710387,catusrteam_nametxt_99,Tick,0,0,0,0,,,0,0,0,OK
0.957133,Emineminem_522023,Tick,0,0,0,0,,,0,0,0,OK
0.957133,SicilianDragon_161660,Tick,0,0,0,0,,,0,0,0,OK
0.957133,LosingBot_3,Tick,0,0,0,0,,,0,0,0,OK
0.957133,DeltaOneBcn_3145,Tick,0,0,0,0,,,0,0,0,OK
0.957133,MarketOrdersOnly_94,Tick,0,0,0,0,,,0,0,0,OK
0.957133,Algorizz_12321,Tick,0,0,0,0,,,0,0,0,OK
0.957133,BGAF_2047,Tick,0,0,0,0,,,0,0,0,OK
0.957133,catusrteam_nametxt_99,Tick,0,0,0,0,,,0,0,0,OK
1.216772,Emineminem_522023,Tick,0,0,0,0,,140400,0,0,0,OK
1.216772,SicilianDragon_161660,Tick,0,0,0,0,,140400,0,0,0,OK
1.216772,LosingBot_3,Tick,0,0,0,0,,140400,0,0,0,OK
1.216772,DeltaOneBcn_3145,Tick,0,0,0,0,,140400,0,0,0,OK
1.216772,MarketOrdersOnly_94,Tick,0,0,0,0,,140400,0,0,0,OK
1.216772,Algorizz_12321,Tick,0,0,0,0,,140400,0,0,0,OK
1.216772,BGAF_2047,Tick,0,0,0,0,,140400,0,0,0,OK
1.216772,catusrteam_nametxt_99,Tick,0,0,0,0,,140400,0,0,0,OK
1.456748,Emineminem_522023,Tick,0,0,0,0,,140400,0,0,0,OK
1.456748,SicilianDragon_161660,Tick,0,0,0,0,,140400,0,0,0,OK
1.456748,LosingBot_3,Tick,0,0,0,0,,140400,0,0,0,OK
1.456748,DeltaOneBcn_3145,Tick,0,0,0,0,,140400,0,0,0,OK
1.456748,MarketOrdersOnly_94,Tick,0,0,0,0,,140400,0,0,0,OK
1.456748,Algorizz_12321,Tick,0,0,0,0,,140400,0,0,0,OK
1.456748,BGAF_2047,Tick,0,0,0,0,,140400,0,0,0,OK
1.456748,catusrteam_nametxt_99,Tick,0,0,0,0,,140400,0,0,0,OK
1.771824,Emineminem_522023,Tick,0,0,0,0,,140400,0,0,0,OK
1.771824,SicilianDragon_161660,Tick,0,0,0,0,,140400,0,0,0,OK
1.771824,LosingBot_3,Tick,0,0,0,0,,140400,0,0,0,OK
1.771824,DeltaOneBcn_3145,Tick,0,0,0,0,,140400,0,0,0,OK
1.771824,MarketOrdersOnly_94,Tick,0,0,0,0,,140400,0,0,0,OK
1.771824,Algorizz_12321,Tick,0,0,0,0,,140400,0,0,0,OK
1.771824,BGAF_2047,Tick,0,0,0,0,,140400,0,0,0,OK
1.771824,catusrteam_nametxt_99,Tick,0,0,0,0,,140400,0,0,0,OK
1.977808,Emineminem_522023,Tick,0,0,0,0,140500,140400,0,0,0,OK
1.977808,SicilianDragon_161660,Tick,0,0,0,0,140500,140400,0,0,0,OK
1.977808,LosingBot_3,Tick,0,100,-100,100,140500,140400,-1405,1405,-8595,OK
1.977808,DeltaOneBcn_3145,Tick,0,25,-25,25,140500,140400,-351,351,-2149,OK
1.977808,MarketOrdersOnly_94,Tick,0,0,0,0,140500,140400,0,0,0,OK
1.977808,Algorizz_12321,Tick,0,0,0,0,140500,140400,0,0,0,OK
1.977808,BGAF_2047,Tick,0,0,0,0,140500,140400,0,0,0,OK
1.977808,catusrteam_nametxt_99,Tick,0,0,0,0,140500,140400,0,0,0,OK
2.215396,Emineminem_522023,Tick,0,0,0,0,140500,140400,0,0,0,OK
2.215396,SicilianDragon_161660,Tick,0,0,0,0,140500,140400,0,0,0,OK
2.215396,LosingBot_3,Tick,0,100,-100,100,140500,140400,-1405,1405,-8595,OK
2.215396,DeltaOneBcn_3145,Tick,0,28,-28,28,140500,140400,-393,393,-2407,OK
2.215396,MarketOrdersOnly_94,Tick,0,0,0,0,140500,140400,0,0,0,OK
2.215396,Algorizz_12321,Tick,0,0,0,0,140500,140400,0,0,0,OK
2.215396,BGAF_2047,Tick,0,0,0,0,140500,140400,0,0,0,OK
